celltypebydonor,new_count
AT2.pUCSDX77,5
AT2.pUCSDX78,3
AT2.pUCSDX8,1
AT2.pUCSDX9,24
AT2D042,68
AT2D071,53
AT2D116,51
AT2D122,97
AT2D123,48
AT2D176,66
AT2D231,88
AT2D239,73
AT2D260,65
AT2D265,116
AT2D266,58
AT2D271,39
AT2D283,32
AT2D288,112
AT2D291,93
AT2D292,110
AT2D294,122
AT2D305,25
AT2D306,800
AT2D311,32
AT2D312,55
AT2D314,109
AT2D315,116
AT2D320,79
AT2D332,74
AT2D335,47
AT2D339,130
AT2D347,118
AT2D351,27
AT2D355,101
AT2D356,51
AT2D357,65
AT2D366,113
AT2D369,72
AT2D370,87
AT2D371,20
AT2D376,92
AT2D381,57
AT2UCSDX10,40
AT2UCSDX11,46
AT2UCSDX13,73
AT2UCSDX14,112
AT2UCSDX15,66
AT2UCSDX16,55
AT2UCSDX18,56
AT2UCSDX19,118
AT2UCSDX2,83
AT2UCSDX20,35
AT2UCSDX21,38
AT2UCSDX23,54
AT2UCSDX24,51
AT2UCSDX25,119
AT2UCSDX27,13
AT2UCSDX28,96
AT2UCSDX29,90
AT2UCSDX3,51
AT2UCSDX30,69
AT2UCSDX31,55
AT2UCSDX33,76
AT2UCSDX35,119
AT2UCSDX36,100
AT2UCSDX37,83
AT2UCSDX38,75
AT2UCSDX39,50
AT2UCSDX4,63
AT2UCSDX40,99
AT2UCSDX41,78
AT2UCSDX42,91
AT2UCSDX43,79
AT2UCSDX44,72
AT2UCSDX46,36
AT2UCSDX47,42
AT2UCSDX49,37
AT2UCSDX50,63
AT2UCSDX51,108
AT2UCSDX52,44
AT2UCSDX53,79
AT2UCSDX58,60
AT2UCSDX59,58
AT2UCSDX6,56
AT2UCSDX61,55
AT2UCSDX62,67
AT2UCSDX63,62
AT2UCSDX64,77
AT2UCSDX69,78
AT2UCSDX7,108
AT2UCSDX72,64
AT2UCSDX76,59
AT2UCSDX77,66
AT2UCSDX78,60
AT2UCSDX8,38
AT2UCSDX9,116
B.CellsD116,2
B.CellsD122,12
B.CellsD123,6
B.CellsD231,8
B.CellsD239,1
B.CellsD260,2
B.CellsD265,13
B.CellsD266,4
B.CellsD271,1
B.CellsD283,4
B.CellsD288,12
B.CellsD292,18
B.CellsD294,25
B.CellsD306,28
B.CellsD312,3
B.CellsD314,3
B.CellsD320,2
B.CellsD332,5
B.CellsD335,1
B.CellsD339,2
B.CellsD347,8
B.CellsD355,8
B.CellsD356,3
B.CellsD366,132
B.CellsD369,4
B.CellsD370,1
B.CellsD371,1
B.CellsD376,1
B.CellsD381,1
B.CellsUCSDX10,1
B.CellsUCSDX11,4
B.CellsUCSDX13,56
B.CellsUCSDX14,1
B.CellsUCSDX15,7
B.CellsUCSDX18,1
B.CellsUCSDX19,28
B.CellsUCSDX2,23
B.CellsUCSDX21,5
B.CellsUCSDX23,4
B.CellsUCSDX24,14
B.CellsUCSDX25,8
B.CellsUCSDX28,11
B.CellsUCSDX29,6
B.CellsUCSDX3,1
B.CellsUCSDX30,26
B.CellsUCSDX31,1
B.CellsUCSDX33,2
B.CellsUCSDX35,3
B.CellsUCSDX36,8
B.CellsUCSDX37,1
B.CellsUCSDX38,53
B.CellsUCSDX39,6
B.CellsUCSDX4,32
B.CellsUCSDX40,11
B.CellsUCSDX41,5
B.CellsUCSDX42,255
B.CellsUCSDX43,10
B.CellsUCSDX44,44
B.CellsUCSDX50,6
B.CellsUCSDX51,5
B.CellsUCSDX53,49
B.CellsUCSDX58,14
B.CellsUCSDX59,2
B.CellsUCSDX6,7
B.CellsUCSDX61,22
B.CellsUCSDX62,1
